	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000000	336	993	1
	1500	0.000001	820	1482	7
	2000	0.000001	863	1998	2
	2500	0.000001	619	2471	1
	3000	0.000002	1765	2950	71
	3500	0.000002	1515	3482	1
	4000	0.000002	1099	3997	1
	4500	0.000002	1778	4485	1
	5000	0.000004	2624	4930	126
	5500	0.000004	2596	5477	3
	6000	0.000003	1937	5974	1
	6500	0.000002	1775	6400	1
	7000	0.000003	2028	6907	1
	7500	0.000002	1779	7304	1
	8000	0.000002	1602	7794	1
	8500	0.000003	2510	8468	1
	9000	0.000004	3080	8936	1
	9500	0.000006	4173	9429	34
	10000	0.000009	5689	9957	1
