	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000000	118	1000	1
	1500	0.000000	228	1495	1
	2000	0.000000	260	1998	1
	2500	0.000000	244	2499	1
	3000	0.000000	290	2999	1
	3500	0.000000	296	3486	1
	4000	0.000001	403	3996	1
	4500	0.000001	506	4498	1
	5000	0.000001	451	4998	1
	5500	0.000001	589	5488	1
	6000	0.000001	730	5998	1
	6500	0.000001	655	6497	1
	7000	0.000001	768	6999	1
	7500	0.000002	1140	7499	1
	8000	0.000001	865	7986	1
	8500	0.000001	880	8490	1
	9000	0.000001	1041	8995	1
	9500	0.000002	1227	9483	1
	10000	0.000002	1336	9998	1
