	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.001018	499500	499500	499500
	2000	0.003984	1999000	1999000	1999000
	3000	0.009038	4498500	4498500	4498500
	4000	0.015900	7998000	7998000	7998000
	5000	0.025638	12497500	12497500	12497500
	6000	0.035797	17997000	17997000	17997000
	7000	0.048598	24496500	24496500	24496500
	8000	0.063613	31996000	31996000	31996000
	9000	0.080258	40495500	40495500	40495500
	10000	0.099175	49995000	49995000	49995000
