	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000040	9520	9520	9520
	2000	0.000083	21033	21033	21033
	3000	0.000137	34845	34845	34845
	4000	0.000179	46058	46058	46058
	5000	0.000239	60678	60678	60678
	6000	0.000297	75678	75678	75678
	7000	0.000348	88107	88107	88107
	8000	0.000383	100107	100107	100107
	9000	0.000431	115343	115343	115343
	10000	0.000498	131343	131343	131343
