	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000000	182	999	1
	1500	0.000000	152	1487	1
	2000	0.000000	239	1997	1
	2500	0.000000	344	2494	1
	3000	0.000001	447	2996	1
	3500	0.000001	369	3500	1
	4000	0.000001	456	4000	1
	4500	0.000001	653	4494	1
	5000	0.000001	792	4999	1
	5500	0.000001	813	5494	1
	6000	0.000001	581	5995	1
	6500	0.000001	748	6491	1
	7000	0.000001	736	6999	1
	7500	0.000001	919	7500	1
	8000	0.000002	1219	7988	1
	8500	0.000001	1022	8481	1
	9000	0.000002	1208	8990	1
	9500	0.000002	1438	9497	1
	10000	0.000001	920	9998	1
