	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000000	9	10	1
	1500	0.000000	10	11	1
	2000	0.000000	10	11	1
	2500	0.000000	10	12	1
	3000	0.000000	11	12	1
	3500	0.000000	11	12	1
	4000	0.000000	11	12	1
	4500	0.000000	11	13	1
	5000	0.000000	11	13	1
	5500	0.000000	12	13	1
	6000	0.000000	12	13	1
	6500	0.000000	12	13	1
	7000	0.000000	12	13	1
	7500	0.000000	12	13	1
	8000	0.000000	12	13	1
	8500	0.000000	12	14	1
	9000	0.000000	12	14	1
	9500	0.000000	12	14	1
	10000	0.000000	12	14	1
