	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000000	9	10	3
	1500	0.000000	10	11	4
	2000	0.000000	10	11	3
	2500	0.000000	11	12	2
	3000	0.000000	11	12	3
	3500	0.000000	11	12	4
	4000	0.000000	11	12	1
	4500	0.000000	11	13	4
	5000	0.000000	12	13	4
	5500	0.000000	12	13	3
	6000	0.000000	12	13	4
	6500	0.000000	12	13	4
	7000	0.000000	12	13	3
	7500	0.000000	12	13	3
	8000	0.000000	12	13	5
	8500	0.000000	12	14	4
	9000	0.000000	12	14	4
	9500	0.000000	12	14	5
	10000	0.000000	13	14	4
