	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000087	11039	13550	9917
	2000	0.000182	24680	30621	22101
	3000	0.000296	39490	46351	35504
	4000	0.000405	55031	65185	50354
	5000	0.000503	70963	81459	64781
	6000	0.000606	87971	97343	80410
	7000	0.000730	103475	118317	94155
	8000	0.000901	121678	135518	112235
	9000	0.001022	138288	157734	127898
	10000	0.001131	155711	190363	143306
