	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000000	10	1000	1
	1500	0.000000	13	1500	1
	2000	0.000000	15	2000	1
	2500	0.000000	18	2500	1
	3000	0.000000	21	3000	1
	3500	0.000000	24	3500	1
	4000	0.000000	26	4000	1
	4500	0.000000	29	4500	1
	5000	0.000000	31	5000	1
	5500	0.000000	37	5500	1
	6000	0.000000	36	6000	1
	6500	0.000000	39	6500	1
	7000	0.000000	41	7000	1
	7500	0.000000	45	7500	1
	8000	0.000000	49	8000	1
	8500	0.000000	52	8500	1
	9000	0.000000	53	9000	1
	9500	0.000000	52	9500	1
	10000	0.000000	60	10000	1
