	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000000	9	10	4
	1500	0.000000	10	11	6
	2000	0.000000	10	11	5
	2500	0.000000	11	12	4
	3000	0.000000	11	12	4
	3500	0.000000	11	12	6
	4000	0.000000	11	12	6
	4500	0.000000	11	13	7
	5000	0.000000	11	13	4
	5500	0.000000	12	13	6
	6000	0.000000	12	13	6
	6500	0.000000	12	13	7
	7000	0.000000	12	13	7
	7500	0.000000	12	13	6
	8000	0.000000	12	13	7
	8500	0.000000	12	14	7
	9000	0.000000	12	14	6
	9500	0.000000	12	14	5
	10000	0.000000	13	14	7
