	N	Time(s)	Average_OB	Max_OB	Min_OB
	1000	0.000081	10945	14473	9912
	2000	0.000184	24983	32120	22558
	3000	0.000280	39763	46229	35483
	4000	0.000376	54837	65427	49735
	5000	0.000493	71282	83447	64467
	6000	0.000610	87334	105282	80314
	7000	0.000700	103624	122168	95458
	8000	0.000804	120508	139327	109887
	9000	0.000950	138334	161009	128577
	10000	0.001136	156817	182720	144374
